rank,title
1,브로드웨이 42번가
2,홍련
3,리지
4,베르사유의 장미
5,오페라의 유령
6,노트르담 드 파리
7,마틸다
8,캣츠
9,카르밀라
10,웃는 남자
11,맘마미아
12,지저스 크라이스트 수퍼스타
13,위키드
14,이터니티
15,드라큘라
16,조로 : 액터뮤지션
17,데스노트
18,레 미제라블
19,지킬 앤 하이드
20,물랑루즈!
21,시데레우스
22,레드북
23,홀리 이노센트
24,스파이
25,잰틀맨스 가이드 : 사랑과 살인편
26,어쩌면 해피엔딩
27,접변
28,경종수정실록
29,그리스
30,이블데드
31,빌리 엘리어트
32,광화문연가
33,레베카
34,미오 프라텔로
35,디어 에반 핸슨
36,빨래
37,살리에르
38,랭보
39,영웅
40,애니
41,헤드윅
42,킹키부츠
43,명성황후
44,프랑켄슈타인
45,하데스타운
46,쿠로이 저택엔 누가 살고 있을까?
47,유진과 유진
48,부치하난
49,박열
50,방구석 뮤지컬
51,비밀의 화원
52,넥스트 투 노멀
