,배역,배우
0,벨마 켈리,최정원
1,벨마 켈리,윤공주
2,벨마 켈리,정선아
3,록시 하트,아이비
4,록시 하트,티파니 영
5,록시 하트,민경아
6,빌리 플린,박건형
7,빌리 플린,최재림
8,마마 모튼,김영주
9,마마 모튼,김경선
10,에이모스,차정현
11,메리 선샤인,S.J. KIM
